Time after synchronization (s),ADC I on primary,ADC Q on primary
0.000012680,852,292
0.000012690,600,628
0.000012700,452,444
0.000012710,820,68
0.000012720,1176,-48
0.000012730,1012,240
0.000012740,712,572
0.000012750,456,608
0.000012760,568,356
0.000012770,1020,12
0.000012780,1088,48
0.000012790,824,308
0.000012800,544,680
0.000012810,492,444
0.000012820,888,88
0.000012830,1128,-56
0.000012840,1036,212
0.000012850,696,592
0.000012860,428,628
0.000012870,644,260
0.000012880,992,44
0.000012890,1160,-16
0.000012900,828,412
0.000012910,568,636
0.000012920,444,488
0.000012930,764,116
0.000012940,1056,-88
0.000012950,996,156
0.000012960,736,544
0.000012970,484,680
0.000012980,636,288
0.000012990,968,-60
0.000013000,1164,24
0.000013010,936,348
0.000013020,524,628
0.000013030,440,488
0.000013040,668,208
0.000013050,1048,-16
0.000013060,1000,100
0.000013070,720,472
0.000013080,452,628
0.000013090,504,396
0.000013100,872,28
0.000013110,1084,-48
0.000013120,980,256
0.000013130,656,564
0.000013140,488,624
0.000013150,608,328
0.000013160,964,-20
0.000013170,1068,36
0.000013180,944,356
0.000013190,588,648
0.000013200,492,544
0.000013210,676,224
0.000013220,1008,-68
0.000013230,1064,100
0.000013240,824,432
0.000013250,520,604
0.000013260,504,456
0.000013270,792,140
0.000013280,1052,-24
0.000013290,1008,168
0.000013300,776,444
0.000013310,532,640
0.000013320,564,384
